spp,num_MX_responses,num_MX_responses_outliers_removed
Antrozous pallidus,16,14
Artibeus hirsutus,12,9
Artibeus jamaicensis,17,17
Balantiopteryx io,14,14
Bauerus dubiaquercus,13,12
Carollia subrufa,14,12
Centronycteris centralis,9,8
Centurio senex,22,17
Chiroderma salvini,10,9
Chiroderma villosum,12,10
Choeroniscus godmani,11,8
Choeronycteris mexicana,20,15
Chrotopterus auritus,18,15
Corynorhinus mexicanus,18,15
Cynomops mexicanus,7,5
Dermanura azteca,16,12
Diaemus youngi,12,10
Diclidurus albus,13,11
Enchisthenes hartii,14,12
Eptesicus brasiliensis,11,8
Euderma maculatum,13,10
Eumops auripendulus,5,4
Eumops ferox,8,4
Eumops hansae,6,6
Eumops nanus,8,8
Eumops perotis,11,7
Eumops underwoodi,11,9
Gardnerycteris keenani,6,5
Glossophaga leachii,10,7
Glossophaga morenoi,12,11
Glyphonycteris sylvestris,8,8
Hylonycteris underwoodi,10,8
Idionycteris phyllotis,14,9
Lampronycteris brachyotis,11,10
Lasionycteris noctivagans,10,6
Lasiurus borealis,9,7
Lasiurus cinereus,17,16
Lasiurus ega,11,10
Lasiurus frantzii,17,15
Lasiurus intermedius,11,10
Lasiurus xanthinus,10,8
Leptonycteris nivalis,20,20
Leptonycteris yerbabuenae,13,13
Leptonycteris yerbaguensis,1,1
Lonchorhina aurita,11,10
Lophostoma brasiliense,10,7
Lophostoma evotis,9,7
Macrophyllum macrophyllum,9,9
Micronycteris schmidtorum,11,9
Mimon cozumelae,13,11
Molossus coibensis,6,4
Molossus molossus,6,6
Myotis albescens,7,6
Myotis auriculus,11,7
Myotis elegans,8,5
Myotis evotis,7,7
Myotis findleyi,7,6
Myotis fortidens,10,9
Myotis melanorhinus,8,7
Myotis nigricans,4,4
Myotis occultus,12,11
Myotis peninsularis,6,5
Myotis velifer,18,12
Myotis volans,10,5
Noctilio albiventris,13,9
Noctilio leporinus,17,13
Nycticeius humeralis,7,5
Nyctinomops aurispinosus,9,4
Nyctinomops femorosaccus,7,4
Perimyotis subflavus,9,7
Phylloderma stenops,8,5
Platyrrhinus helleri,9,6
Promops centralis,9,5
Pteronotus gymnonotus,11,7
Rhogeessa alleni,10,4
Rhogeessa bickhami,6,4
Rhogeessa genowaysi,6,3
Rhogeessa gracilis,8,5
Rhogeessa mira,8,4
Saccopteryx leptura,7,3
Tadarida brasiliensis,15,11
Thyroptera tricolor,12,9
Tonatia bakeri,6,4
Trachops cirrhosus,16,15
Trinycteris nicefori,8,4
Uroderma convexum,9,6
Uroderma davisi,10,6
Uroderma magnirostrum,10,5
Vampyressa thyone,13,8
Vampyrodes major,8,7